Product ID,Product type,Name,Display name,Price,VAT,Visible,Identifier,EAN code,Ledger group code,Ledger group category,Ledger group name,Ledger group cost centre,Variant information,Description,Costprice,Sold out,Age limit,Deposit,Categories,Tags,Modifiers,Characteristics,Color,Image,variablePricePresets,translations,variablePrice,depositQuantity,variants,ledgerGroup,periodicPricing,allergens,originalPrice,activePeriodicPrice
82fbfc4b-8e51-41f5-84c1-0f9b376fd148,FOOD_BEVERAGE,LOSSE MEXICANO,Mexicano,3.55,9,TRUE,,,,,,,,,0,FALSE,FALSE,,"Food,LOSSE SNACK",Frituur,"Saus: (Geen saus: €0.00,Mosterd: €0.00,Mayonaise: €0.40,Tomatenketchup: €0.40,Curry: €0.40,Spicy mayo: €0.40,Sweet chili: €0.40,Pindasaus: €0.60,Mayo+Ketchup: €0.60,Mayo+Ketchup+Uitjes: €0.60,Mayo+Curry: €0.60,Mayo+Curry+Uitjes: €0.60,Mayo+Pindasaus: €0.60,Mayo+Pindasaus+Uitjes: €0.60,Neptunus: €0.75) required: true",Varkensvlees,BLUE_DARK,,,,FALSE,,,,,,,
858af1d9-adf4-4a22-a465-004377e1c6ba,FOOD_BEVERAGE,LOSSE KROKET,Kroket,2.65,9,TRUE,1134971,,,,,,,Goudbruin en knapperig,0,FALSE,FALSE,,"Food,LOSSE SNACK",Frituur,"Saus: (Geen saus: €0.00,Mosterd: €0.00,Mayonaise: €0.40,Tomatenketchup: €0.40,Curry: €0.40,Spicy mayo: €0.40,Sweet chili: €0.40,Pindasaus: €0.60,Mayo+Ketchup: €0.60,Mayo+Ketchup+Uitjes: €0.60,Mayo+Curry: €0.60,Mayo+Curry+Uitjes: €0.60,Mayo+Pindasaus: €0.60,Mayo+Pindasaus+Uitjes: €0.60,Neptunus: €0.75) required: true",,RED,,,,FALSE,,,,,,,
8d9cd81f-ef46-42ab-8721-3acc2f45abe7,FOOD_BEVERAGE,TOSTI KOREAN BEEF,Tosti Korean Beef,4.95,9,TRUE,2156714,,,,,,,Kimchi en ossenstaart,0,FALSE,FALSE,,"Food,TOSTI",Tosti's,"Saus: (Geen saus: €0.00,Mosterd: €0.00,Mayonaise: €0.40,Tomatenketchup: €0.40,Curry: €0.40,Spicy mayo: €0.40,Sweet chili: €0.40,Pindasaus: €0.60,Mayo+Ketchup: €0.60,Mayo+Ketchup+Uitjes: €0.60,Mayo+Curry: €0.60,Mayo+Curry+Uitjes: €0.60,Mayo+Pindasaus: €0.60,Mayo+Pindasaus+Uitjes: €0.60,Neptunus: €0.75) required: true",,BLUE_DARK,,,,FALSE,,,,,,,
9aa75068-1587-476b-bf0c-9f019b29bd9a,FOOD_BEVERAGE,TOSTI SPINAZIE-FETA,Tosti Spinazie-Feta,4.5,9,TRUE,2214731,,,,,,,Wilde spinazie feta en bechamel,0,FALSE,FALSE,,"Food,TOSTI","Tosti's,Vegetarisch","Saus: (Geen saus: €0.00,Mosterd: €0.00,Mayonaise: €0.40,Tomatenketchup: €0.40,Curry: €0.40,Spicy mayo: €0.40,Sweet chili: €0.40,Pindasaus: €0.60,Mayo+Ketchup: €0.60,Mayo+Ketchup+Uitjes: €0.60,Mayo+Curry: €0.60,Mayo+Curry+Uitjes: €0.60,Mayo+Pindasaus: €0.60,Mayo+Pindasaus+Uitjes: €0.60,Neptunus: €0.75) required: true",,BLUE_DARK,,,,FALSE,,,,,,,
A5Dn8Q60I70fCmFGG5gq,FOOD_BEVERAGE,WINGS 12,12 Kippenvleugels,24,9,TRUE,,,,,,,,"12 hele kippenvleugels (flat + drummette), verkrijgbaar in 4 heerlijke smaken",0,FALSE,FALSE,,"Food,WINGS",,"Wing Flavour: (Plain: €0.00,Lemon Pepper: €0.00,Teriyaki: €0.00,Spicy Korean: €0.00) required: true",,PEACH,,,,FALSE,,,,,,,
ELuLiyB9a46fTmqwN8r3,FOOD_BEVERAGE,BITTERGARNI 36,36 st. gemengde bittergarnituur,22.7,9,TRUE,,,,,,,,"Bitterballen, kaasstengels, kipnuggets, loempiatjes, mini frikandellen en mini bamihapjes met mosterd en spicy mayo",0,FALSE,FALSE,,"Food,LOSSE SNACK","Populair,Frituur",,Varkensvlees,RED,,,,FALSE,,,,,,,
FZRE4ajoWfgOl2P9MUoJ,FOOD_BEVERAGE,WINGS 6,6 Kippenvleugels,12,9,TRUE,,,,,,,,"6 hele kippenvleugels (flat + drummette), verkrijgbaar in 4 heerlijke smaken",0,FALSE,FALSE,,"Food,WINGS",,"Wing Flavour: (Plain: €0.00,Lemon Pepper: €0.00,Teriyaki: €0.00,Spicy Korean: €0.00) required: true",,PEACH,,,,FALSE,,,,,,,
H6t3dLnHDWV5QDKVlk1c,FOOD_BEVERAGE,BITTERBAL 12,12 bitterballen,10.15,9,TRUE,,,,,,,,,0,FALSE,FALSE,,"Food,LOSSE SNACK","Frituur,Populair",,,BLUE_DARK,,,,FALSE,,,,,,,
MSuvfLLYRN3uepcNZh23,FOOD_BEVERAGE,KAASSTENGELS 12,12 Kaasstengels,10.1,9,TRUE,,,,,,,,,0,FALSE,FALSE,,"Food,LOSSE SNACK","Frituur,Vegetarisch",,,BLUE_DARK,,,,FALSE,,,,,,,
U1zjPaAQsdBEGDFDjg5a,FOOD_BEVERAGE,KAASSTENGELS 6,6 Kaasstengels,5.1,9,TRUE,,,,,,,,,0,FALSE,FALSE,,"Food,LOSSE SNACK","Frituur,Vegetarisch",,,BLUE_DARK,,,,FALSE,,,,,,,
